,content,time,author
336,<@456226577798135808> <@!345445833489121280> sorry i was afk,2021-10-20 08:56:12.768,386643626530308096
337,<@377787590729924608> minjem endurance ada ga,2021-10-20 08:57:52.738,528580754683461632
338,<@!528580754683461632> cannot cal,2021-10-20 09:01:18.239,377787590729924608
339,.trade <@!528580754683461632>,2021-10-20 09:05:10.374,377787590729924608
340,Rpg hal boo <@377787590729924608>,2021-10-20 09:06:26.118,528580754683461632
341,anda udh main? <@456226577798135808>,2021-10-20 10:16:09.067,377787590729924608
342,<@!528580754683461632>,2021-10-20 12:12:06.848,377787590729924608
343,rpg hal boo <@!377787590729924608>,2021-10-20 12:13:01.918,528580754683461632
344,rpg hal boo <@!528580754683461632>,2021-10-20 12:13:23.761,377787590729924608
345,<@!386643626530308096> good raid,2021-10-20 12:57:57.943,377787590729924608
346,$give <@!377787590729924608> kousei arima,2021-10-20 13:48:24.852,528580754683461632
347,$givek <@!528580754683461632> 202,2021-10-20 13:48:35.825,377787590729924608
348,owohug <@!528580754683461632>,2021-10-20 13:48:46.162,377787590729924608
349,.dg fight <@!528580754683461632>,2021-10-20 13:50:22.592,377787590729924608
